Assets,Bank Name,Address,City,State,ZIP,URL,County,Parent Holding Company,Region
"$101,686,744,000","Union Bank, National Association",400 California Street,San Francisco,California,94104,www.unionbank.com,San Francisco,"Mitsubishi Ufj Financial Group, Inc.","San Francisco-Oakland-Hayward, CA"
"$63,529,654,000",Bank of the West,180 Montgomery Street,San Francisco,California,94104,www.bankofthewest.com,San Francisco,Bnp Paribas,"San Francisco-Oakland-Hayward, CA"
"$37,312,741,000",First Republic Bank,111 Pine Street,San Francisco,California,94111,www.firstrepublic.com,San Francisco, ,"San Francisco-Oakland-Hayward, CA"
"$27,175,000,000","Bank of America California, National Association",555 California Street,San Francisco,California,94104, ,San Francisco,Bank Of America Corporation,"San Francisco-Oakland-Hayward, CA"
"$27,033,551,000",City National Bank,400 North Roxbury Drive,Beverly Hills,California,90210,http://cnb.com,Los Angeles,City National Corporation,"Los Angeles-Long Beach-Anaheim, CA"
"$25,421,057,000","OneWest Bank, FSB",888 E. Walnut Street,Pasadena,California,91101,www.owb.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$23,300,217,000",East West Bank,"135 N. Los Robles Avenue, 7th Floor",Pasadena,California,91101,http://www.eastwestbank.com,Los Angeles,"East West Bancorp, Inc.","Los Angeles-Long Beach-Anaheim, CA"
"$20,872,490,000",Silicon Valley Bank,3003 Tasman Drive,Santa Clara,California,95054,www.svb.com,Santa Clara,Svb Financial Group,"San Jose-Sunnyvale-Santa Clara, CA"
"$13,698,000,000","Rabobank, National Association","915 Highland Pointe Drive, Suite 350",Roseville,California,95678,www.rabobankamerica.com,Placer,"Cooperatieve Centrale Raiffeisen-Boerenleenbank B.A., ""rabobank Nederland""","Sacramento-Roseville-Arden-Arcade, CA"
"$10,839,704,000",California Bank & Trust,"11622 El Camino Real, Suite 200",San Diego,California,92130,http://www.calbanktrust.com,San Diego,Zions Bancorporation,"San Diego-Carlsbad, CA"
"$10,589,063,000",Cathay Bank,777 North Broadway Street,Los Angeles,California,90012,www.cathaybank.com,Los Angeles,Cathay General Bancorp,"Los Angeles-Long Beach-Anaheim, CA"
"$9,981,372,000","JPMorgan Bank and Trust Company, National Association",560 Mission Street,San Francisco,California,94105, ,San Francisco,Jpmorgan Chase & Co.,"San Francisco-Oakland-Hayward, CA"
"$7,812,146,000",CapitalSource Bank,633 West Fifth Street,Los Angeles,California,90071,www.capitalsourcebank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$6,701,617,000",Pacific Western Bank,10250 Constellation Boulevard,Los Angeles,California,90067,WWW.PACIFICWESTERNBANK.COM,Los Angeles,Capgen Capital Group Ii Lp,"Los Angeles-Long Beach-Anaheim, CA"
"$6,421,094,000",Citizens Business Bank,701 North Haven Avenue,Ontario,California,91764,http://www.cbbank.com,San Bernardino,Cvb Financial Corp.,"Riverside-San Bernardino-Ontario, CA"
"$5,859,610,000",BBCN Bank,"3731 Wilshire Boulevard, Suite 1000",Los Angeles,California,90010,http://bbcnbank.com,Los Angeles,"Bbcn Bancorp, Inc.","Los Angeles-Long Beach-Anaheim, CA"
"$5,146,143,000",Farmers and Merchants Bank of Long Beach,302 Pine Avenue,Long Beach,California,90802,www.fmb.com,Los Angeles,"Palomar Enterprises, Llc","Los Angeles-Long Beach-Anaheim, CA"
